Place overall,Place gender,Place category,Name,,Club,Runner no,Category,HALF,Finish time,,year
1356,68,51,"» Galea Holmes, Melissa (CAN)",,,528,18-39,01:29:01,02:59:42,,2014
68,68,60,"» Jackson, Anthony (GBR)",,,905,18-39,01:11:42,02:33:27,,2014
70,69,1,"» Reynolds, Ben (GBR)",,,952,50-54,01:15:30,02:33:53,,2014
1378,69,5,"» Swingler, Val (GBR)",,,473,45-49,01:27:20,02:59:54,,2014
1395,70,52,"» Lowery, Sarah (GBR)",,,283,18-39,01:30:42,03:00:01,,2014
71,70,61,"» Meacock, David (GBR)",,,650,18-39,01:15:58,02:33:54,,2014
72,71,62,"» Burn, Andy (GBR)",,,1011,18-39,01:15:09,02:34:00,,2014
1398,71,53,"» Wynn, Elizabeth (GBR)",,,262,18-39,01:27:57,03:00:02,,2014
73,72,63,"» Beattie, Ben (GBR)",,,631,18-39,01:16:02,02:34:01,,2014
1423,72,54,"» Meeten, Kirstie (GBR)",,,504,18-39,01:26:34,03:00:19,,2014
74,73,64,"» Dziewinski, Damian (POL)",,,769,18-39,01:12:40,02:34:04,,2014
1457,73,55,"» Spalton, Mary Grace (USA)",,,287,18-39,01:26:39,03:00:44,,2014
75,74,65,"» Gibbins, Alex (GBR)",,,999,18-39,01:15:37,02:34:13,,2014
1458,74,56,"» Oldroyd, Hannah (GBR)",,,334,18-39,01:30:41,03:00:45,,2014
1462,75,6,"» Rushton, Karen (GBR)",,,441,45-49,01:30:31,03:00:47,,2014
76,75,66,"» Thompson, Peter (GBR)",,,861,18-39,01:16:15,02:34:16,,2014
1471,76,57,"» Drake, Giedre (LTU)",,,404,18-39,01:26:37,03:00:51,,2014
77,76,67,"» Newman, Zac (AUS)",,,33098,18-39,01:12:04,02:34:25,,2014
78,77,68,"» Connell, David (GBR)",,,1136,18-39,01:16:56,02:34:30,,2014
1479,77,58,"» Gelder, Emily (GBR)",,,413,18-39,01:29:13,03:00:59,,2014
79,78,69,"» Robinson, Daniel (GBR)",,,729,18-39,01:15:58,02:34:31,,2014
1484,78,59,"» Ward, Katy (GBR)",,,308,18-39,01:25:43,03:01:02,,2014
1485,79,60,"» Lewis, Rebecca (GBR)",,,32697,18-39,01:29:01,03:01:03,,2014
80,79,70,"» Reason, Robert (GBR)",,,1147,18-39,01:15:20,02:34:32,,2014
81,80,71,"» Carter, Tim (GBR)",,,806,18-39,01:16:01,02:34:47,,2014
1488,80,61,"» Spence, Laura (GBR)",,,44409,18-39,01:26:17,03:01:09,,2014
82,81,72,"» Mcmullan, James (GBR)",,,876,18-39,01:12:06,02:34:49,,2014
1547,81,7,"» Morrall, Zelah (GBR)",,,289,45-49,01:29:04,03:01:50,,2014
1559,82,12,"» Jesson, Maree (GBR)",,,239,40-44,01:27:19,03:01:56,,2014
83,82,73,"» Leveson, Andrew (GBR)",,,895,18-39,01:17:30,02:34:55,,2014
84,83,74,"» Lennox, Gordon (GBR)",,,747,18-39,01:13:47,02:34:55,,2014
1563,83,62,"» Morwood, Sarah (GBR)",,,432,18-39,01:29:26,03:02:00,,2014
1564,84,63,"» Mullins, Sophie (GBR)",,,459,18-39,01:27:40,03:02:03,,2014
85,84,75,"» Oliveira, Jorge Rafael (POR)",,,31956,18-39,01:16:10,02:34:58,,2014
86,85,76,"» Clark, Anthony (GBR)",,,848,18-39,01:17:23,02:34:59,,2014
1574,85,64,"» Gordon, Jillian (GBR)",,,261,18-39,01:29:28,03:02:11,,2014
87,86,77,"» Fitzpatrick, David (IRL)",,,968,18-39,01:17:31,02:35:03,,2014
1578,86,13,"» Ryder, Sharon (AUS)",,,367,40-44,01:24:33,03:02:15,,2014
1589,87,65,"» Morgan, Kelly (GBR)",,,396,18-39,01:28:37,03:02:27,,2014
88,87,9,"» Thursby-Pelham, Brian (GBR)",,,24775,40-44,01:16:50,02:35:03,,2014
89,88,78,"» Dunajko, Adam (GBR)",,,830,18-39,01:15:56,02:35:08,,2014
1591,88,66,"» Shirley, Marie (GBR)",,,376,18-39,01:29:23,03:02:31,,2014
1607,89,14,"» Forbes, Jennifer (GBR)",,,418,40-44,01:30:12,03:02:45,,2014
90,89,79,"» Langley, Jamie (GBR)",,,788,18-39,01:15:30,02:35:09,,2014
91,90,10,"» Fernandez, Paul (GBR)",,,801,40-44,01:13:47,02:35:18,,2014
1634,90,67,"» Venn, Michele (GBR)",,,298,18-39,01:26:59,03:03:18,,2014
1641,91,15,"» Lawton, Jayne (GBR)",,,192,40-44,01:29:26,03:03:23,,2014
92,91,80,"» Speck, Dennis (GBR)",,,1100,18-39,01:16:27,02:35:23,,2014
1647,92,68,"» Davis, Julia (GBR)",,,28510,18-39,01:31:37,03:03:28,,2014
93,92,81,"» Grant, Daniel (GBR)",,,32127,18-39,01:16:04,02:35:27,,2014
94,93,82,"» Scott, Roy (GBR)",,,1168,18-39,01:15:43,02:35:28,,2014
1656,93,16,"» Young, Ali (GBR)",,,204,40-44,01:29:38,03:03:33,,2014
1666,94,69,"» Bunting, Rebecca (GBR)",,,325,18-39,01:29:18,03:03:41,,2014
95,94,83,"» Green, Ben (GBR)",,,942,18-39,01:15:15,02:35:30,,2014
96,95,84,"» Amouroux, Nicolas (FRA)",,,1120,18-39,01:15:08,02:35:31,,2014
1671,95,70,"» Mckimmie, Amie (GBR)",,,319,18-39,01:25:12,03:03:44,,2014
97,96,85,"» Oboyle, Daniel (GBR)",,,977,18-39,01:16:45,02:35:32,,2014
1690,96,71,"» Sykes, Nicola (GBR)",,,448,18-39,01:27:47,03:03:55,,2014
1698,97,72,"» Delderfield, Sophie (GBR)",,,242,18-39,01:27:08,03:04:02,,2014
98,97,2,"» Rackham, Nigel (GBR)",,,1048,50-54,01:17:47,02:35:33,,2014
1713,98,73,"» Denneny, Carla (GBR)",,,306,18-39,01:29:32,03:04:13,,2014
99,98,86,"» Wilkins, Mark (GBR)",,,605,18-39,01:17:23,02:35:34,,2014
1742,99,8,"» Sommer, Daniela (SUI)",,,58042,45-49,01:30:22,03:04:28,,2014
100,99,87,"» Wallis, Patrick (GBR)",,,833,18-39,01:17:21,02:35:42,,2014
101,100,88,"» Barwood, Martin J (GBR)",,,890,18-39,01:15:44,02:35:47,,2014
1749,100,74,"» Johnson, Sarah (GBR)",,,346,18-39,01:26:03,03:04:33,,2014
1751,101,75,"» Chalk, Amy (GBR)",,,351,18-39,01:24:04,03:04:34,,2014
102,101,11,"» Gooding, Ian (GBR)",,,811,40-44,01:15:09,02:35:48,,2014
103,102,12,"» Banks, Tony (GBR)",,,824,40-44,01:15:18,02:35:52,,2014
1752,102,17,"» Banks, Andrea (GBR)",,,395,40-44,01:31:08,03:04:37,,2014
1756,103,76,"» Jones, Nerys (GBR)",,,389,18-39,01:31:16,03:04:38,,2014
104,103,89,"» Middleton, Daniel (GBR)",,,930,18-39,01:18:03,02:35:57,,2014
105,104,13,"» Dickinson, Mark (GBR)",,,779,40-44,01:17:36,02:35:58,,2014
1758,104,77,"» Farrell, Gemma Elizabeth (GBR)",,,51884,18-39,01:30:19,03:04:39,,2014
106,105,90,"» Blake, Dominic (GBR)",,,32766,18-39,01:16:30,02:36:02,,2014
1767,105,78,"» Howells, Louise (GBR)",,,29241,18-39,01:30:34,03:04:43,,2014
107,106,91,"» hargreaves, michael (GBR)",,,883,18-39,01:13:45,02:36:05,,2014
1800,106,79,"» McLennan, Zoe (GBR)",,,31966,18-39,01:31:27,03:05:01,,2014
1802,107,80,"» Broadbent, Victoria (GBR)",,,465,18-39,,03:05:02,,2014
108,107,92,"» Inskip, Andrew (GBR)",,,773,18-39,01:12:26,02:36:08,,2014
109,108,1,"» hall, stuart (GBR)",,,1148,45-49,01:15:40,02:36:20,,2014
1808,108,81,"» Mccartney, Tracy (GBR)",,,435,18-39,01:28:56,03:05:06,,2014
110,109,93,"» Leaney, Stuart (GBR)",,,708,18-39,01:18:15,02:36:25,,2014
1811,109,18,"» Sharratt, Tracey Ann (GBR)",,,18591,40-44,01:32:54,03:05:07,,2014
1817,110,19,"» Jefferson, Nicky (GBR)",,,517,40-44,01:28:40,03:05:10,,2014
111,110,2,"» LACHEVRE, ERIC (FRA)",,,57131,45-49,01:16:46,02:36:27,,2014
112,111,94,"» Harris, Mark (GBR)",,,739,18-39,01:12:29,02:36:27,,2014
1823,111,82,"» Kiriluk, Sarah (BEL)",,,249,18-39,01:30:08,03:05:13,,2014
113,112,95,"» Marks, Kyle (USA)",,,1006,18-39,01:15:15,02:36:30,,2014
1829,112,83,"» O'Rourke, Mairead (IRL)",,,215,18-39,01:27:58,03:05:17,,2014
1833,113,84,"» Edwards, Melanie (GBR)",,,417,18-39,01:29:47,03:05:20,,2014
114,113,14,"» Walsh, Crispin (GBR)",,,636,40-44,01:17:34,02:36:31,,2014
115,114,3,"» Rowlands, Darren (GBR)",,,816,45-49,01:15:56,02:36:32,,2014
1837,114,85,"» Watts, Amelia (GBR)",,,28149,18-39,01:31:29,03:05:23,,2014
116,115,96,"» Jones, Nick (GBR)",,,31400,18-39,01:18:41,02:36:37,,2014
1855,115,20,"» VILLA, ELISABETTA (ITA)",,,56582,40-44,01:29:55,03:05:38,,2014
1869,116,86,"» Antcliffe, Emily (GBR)",,,330,18-39,01:31:20,03:05:50,,2014
117,116,97,"» Weston, Rick (GBR)",,,724,18-39,01:14:28,02:36:38,,2014
