Place,BIB#,Lastname,Firstname,Club,Nation,Sex,AC,AC Place,Net,Finish,Photos,Certificate
256,57043,Moore,Todd,,USA,M,30,79,02:40:16,02:40:28,,
257,26327,Ruggiero-Julio,Vincent,VMA Viens M Attraper,FRA,M,35,53,02:40:16,02:40:21,,
258,28769,Reis,Leonel,Potugal,POR,M,40,44,02:40:16,02:40:30,,
259,50629,Batista De Oliveira,Carlos Eduardo,CARLOS SPORTS,BRA,M,40,45,02:40:22,02:40:34,,
259,61662,Abdalla,Abdelmajeed,,SUD,M,H,40,02:40:22,02:40:26,,
261,24824,Starosta,Patric,PS Running,GER,M,30,80,02:40:24,02:40:31,,
262,14177,Reep,Jonny,Wellingborough AC,GBR,M,H,41,02:40:25,02:40:31,,
263,52697,Dzhgarkava,Georgy,,RUS,M,35,54,02:40:28,02:40:33,,
264,17287,Krug,Jonathan,,GER,M,35,55,02:40:29,02:41:06,,
265,26250,Pino,Robin,Uppsala LK,SWE,M,35,56,02:40:39,02:40:50,,
266,23682,Kretschmer,Paul,Leichtathletik Club Taucha e.V,GER,M,30,81,02:40:40,02:40:53,,
267,23808,Van Wel,Reinardus,SCC Berlin,NED,M,40,46,02:40:44,02:40:50,,
268,24860,Haberstroh,Dominik,SV Waldkirch,GER,M,35,57,02:40:45,02:40:52,,
269,58205,Popadiak,Beata,ASICS FrontRunner,POL,W,H,11,02:40:46,02:41:17,,
270,13914,Golaszewski,Michal,Team Kopec,POL,M,45,17,02:40:47,02:40:56,,
271,27283,Koch,Tim-Phillip,TSV Glems,GER,M,35,58,02:40:51,02:40:57,,
272,21497,Maldet,Matthias,LC ASKÃ Breitenau,AUT,M,H,42,02:40:53,02:41:28,,
273,13775,Oliveira,Rafael,,POR,M,40,47,02:40:56,02:41:01,,
274,51026,Bogucki,Patryk,Piekielni Gniezno,POL,M,30,82,02:40:59,02:41:08,,
275,13563,Nielsen,RenÃ© Anda,NBRO,DEN,M,35,59,02:40:59,02:41:12,,
276,21121,Mathisen,Yngve,,NOR,M,30,83,02:41:04,02:41:17,,
277,14223,Abousitre,Ahmed,Athle Halluin Val de Lys,FRA,M,35,60,02:41:08,02:41:20,,
278,50774,BerÃ¡n,Attila,,HUN,M,35,61,02:41:08,02:41:55,,
279,50934,BjÃ¸rge,Lars-Erik Notevarp,Varegg Fleridrett,NOR,M,30,84,02:41:10,02:41:16,,
280,29346,Lillo,Ivan,NÃ¼rnberg Track Club,ESP,M,35,62,02:41:14,02:41:46,,
281,55768,Lawyer,Nicholas,Columbus Running Company,USA,M,H,43,02:41:16,02:41:27,,
282,57802,Parent,Julien,AHVL,FRA,M,H,44,02:41:19,02:41:30,,
283,25362,Baird,Jonathon,AO Charenton,GBR,M,30,85,02:41:20,02:41:25,,
284,22506,Erstad,Magnus,Kamp Vestheim IF,NOR,M,30,86,02:41:29,02:41:33,,
285,13144,Egan,Darren,Blackrock AC Dublin,IRL,M,35,63,02:41:32,02:41:49,,
286,13295,Millns,David,Sheffield Running Club,GBR,M,35,64,02:41:32,02:41:56,,
287,29773,Haignere,Mikael,Go For It Running,FRA,M,45,18,02:41:35,02:41:54,,
288,25186,Garcia,Francisco,,ESP,M,45,19,02:41:36,02:41:41,,
289,26404,Egan,Donal,North Sligo AC,IRL,M,35,65,02:41:36,02:42:00,,
290,24932,UEMURA,YUICHIRO,Breakthrough,JPN,M,35,66,02:41:38,02:41:42,,
291,13309,Canning,Steve,Steel City Striders,GBR,M,40,48,02:41:39,02:42:04,,
292,53596,Glaubke,Eric,,USA,M,H,45,02:41:40,02:41:46,,
293,13256,Hans,Nicolas,ASMT,FRA,M,35,67,02:41:43,02:41:56,,
294,4798,Forster,Peter,SSC Schweine HÃ¶ngg,SUI,M,45,20,02:41:43,02:41:52,,
295,14656,Ravera,Claudio,ASD DRAGONERO,ITA,M,45,21,02:41:45,02:41:51,,
296,26607,Baltink,Jan,AV 1923,NED,M,35,68,02:41:46,02:42:01,,
297,18162,Gorgan,Claudiu,CS Craiova,ROU,M,30,87,02:41:48,02:41:52,,
